Embedding Method,Clustering Method,Reduction Method,silhoutte score,davies score,calinski score 
roberta_embeddings,Kmeans_clustering,display_pca,0.06148610636591911,2.653827502965906,24.272067388839798
roberta_embeddings,Kmeans_clustering,display_tsne,0.06148610636591911,2.653827502965906,24.272067388839798
roberta_embeddings,gaussian_clustering,display_pca,0.0529421791434288,3.040456212442623,27.060935905906423
roberta_embeddings,gaussian_clustering,display_tsne,0.0529421791434288,3.040456212442623,27.060935905906423
roberta_embeddings,hierarchical_clustering,display_pca,0.06046243757009506,2.377261482941024,24.24122785099038
roberta_embeddings,hierarchical_clustering,display_tsne,0.06046243757009506,2.377261482941024,24.24122785099038
sentence_transformer_embeddings,Kmeans_clustering,display_pca,0.05410468205809593,3.3107958646580413,13.229068887962722
sentence_transformer_embeddings,Kmeans_clustering,display_tsne,0.05410468205809593,3.3107958646580413,13.229068887962722
sentence_transformer_embeddings,gaussian_clustering,display_pca,0.054216962307691574,3.295600799827649,13.241650092908575
sentence_transformer_embeddings,gaussian_clustering,display_tsne,0.054216962307691574,3.295600799827649,13.241650092908575
sentence_transformer_embeddings,hierarchical_clustering,display_pca,0.047386202961206436,3.352618052618145,12.389337366679575
sentence_transformer_embeddings,hierarchical_clustering,display_tsne,0.047386202961206436,3.352618052618145,12.389337366679575
SVD_embeddings,Kmeans_clustering,display_pca,0.3775961626757079,0.6820312833347231,832.0754271092195
SVD_embeddings,Kmeans_clustering,display_tsne,0.3775960277468094,0.6820314858287946,832.0748004257125
SVD_embeddings,gaussian_clustering,display_pca,-0.04170431238009047,3.5301184282714986,113.65975907177304
SVD_embeddings,gaussian_clustering,display_tsne,-0.04317579050837244,3.034218126234167,116.8393655454777
SVD_embeddings,hierarchical_clustering,display_pca,0.3754532179547477,0.753682515320561,831.8098299498466
SVD_embeddings,hierarchical_clustering,display_tsne,0.37545336560132814,0.7536820565486751,831.8097991431563
SVD_embeddings_PPMI,Kmeans_clustering,display_pca,0.09642830160664793,1.861921727442347,134.22927789476276
SVD_embeddings_PPMI,Kmeans_clustering,display_tsne,0.10640964554856992,1.845250421817174,132.19252416277416
SVD_embeddings_PPMI,gaussian_clustering,display_pca,0.028219586833085262,2.5817653121156763,101.72129626568235
SVD_embeddings_PPMI,gaussian_clustering,display_tsne,0.022489394504340517,2.8559274166387865,98.79444671061756
SVD_embeddings_PPMI,hierarchical_clustering,display_pca,0.08427112933747345,1.815039480476721,127.61077649164609
SVD_embeddings_PPMI,hierarchical_clustering,display_tsne,0.09209423640353714,1.7597558722877331,127.15740213125996
glove_embeddings,Kmeans_clustering,display_pca,0.06987189501523972,2.1104081371611403,32.05732387911126
glove_embeddings,Kmeans_clustering,display_tsne,0.06987189501523972,2.1104081371611403,32.05732387911126
glove_embeddings,gaussian_clustering,display_pca,0.03147071599960327,2.599861662817444,26.490819408756877
glove_embeddings,gaussian_clustering,display_tsne,0.03147071599960327,2.599861662817444,26.490819408756877
glove_embeddings,hierarchical_clustering,display_pca,0.06891202181577682,1.9366146733970748,30.354342047888014
glove_embeddings,hierarchical_clustering,display_tsne,0.06891202181577682,1.9366146733970748,30.354342047888014
tfidf,Kmeans_clustering,display_pca,0.028222616181139814,3.847906244889733,6.393478718954875
tfidf,Kmeans_clustering,display_tsne,0.028222616181139814,3.847906244889733,6.393478718954875
tfidf,gaussian_clustering,display_pca,0.027997233646819598,3.834597676856835,6.38327335580323
tfidf,gaussian_clustering,display_tsne,0.027997233646819598,3.834597676856835,6.38327335580323
tfidf,hierarchical_clustering,display_pca,0.012779694782424769,4.29151823889051,6.967200067788016
tfidf,hierarchical_clustering,display_tsne,0.012779694782424769,4.29151823889051,6.967200067788016
