Embedding Method,Clustering Method,silhoutte score,davies score,calinski score
glove_embeddings,Kmeans_clustering,0.10732537916716446,1.4569636522781053,231.54082845557485
glove_embeddings,Kmeans_clustering,0.10732537916716446,1.4569636522781053,231.54082845557485
glove_embeddings,Kmeans_clustering,0.10732537916716446,1.4569636522781053,231.54082845557485
glove_embeddings,hierarchical_clustering,0.0916975136793441,1.2918130285614717,250.32787832801355
glove_embeddings,hierarchical_clustering,0.0916975136793441,1.2918130285614717,250.32787832801355
glove_embeddings,hierarchical_clustering,0.0916975136793441,1.2918130285614717,250.32787832801355
SVD_embeddings,Kmeans_clustering,0.36625650767435985,0.6365928734849685,551.6234778528752
SVD_embeddings,Kmeans_clustering,0.3662568082950432,0.6365925358914318,551.6247532490145
SVD_embeddings,Kmeans_clustering,0.36625698441125937,0.6365891623161687,551.6311657101452
SVD_embeddings,hierarchical_clustering,0.3446176120689621,0.7077675923565883,549.2079873245602
SVD_embeddings,hierarchical_clustering,0.3446162471109721,0.7077701913464468,549.2008199918039
SVD_embeddings,hierarchical_clustering,0.3446156979490773,0.7077720203895392,549.1936662315617
SVD_embeddings_PPMI,Kmeans_clustering,0.14322653283870637,1.5538106749641716,189.46504160695613
SVD_embeddings_PPMI,Kmeans_clustering,0.15365062004615374,1.3195795891910524,194.4100632672254
SVD_embeddings_PPMI,Kmeans_clustering,0.13538984198833084,1.452978266046014,191.26210272778965
SVD_embeddings_PPMI,hierarchical_clustering,0.13597118632346772,1.3900945104108584,186.4099281099468
SVD_embeddings_PPMI,hierarchical_clustering,0.14609721828641667,1.340207947679329,186.34792607013895
SVD_embeddings_PPMI,hierarchical_clustering,0.13344303433322444,1.4438690589308278,184.77582227501028
sentence_transformer_embeddings,Kmeans_clustering,0.06517711281776428,3.251254982149188,14.655354031983451
sentence_transformer_embeddings,Kmeans_clustering,0.06517711281776428,3.251254982149188,14.655354031983451
sentence_transformer_embeddings,Kmeans_clustering,0.06517711281776428,3.251254982149188,14.655354031983451
sentence_transformer_embeddings,hierarchical_clustering,0.05970919504761696,3.234641894278986,14.051785073172985
sentence_transformer_embeddings,hierarchical_clustering,0.05970919504761696,3.234641894278986,14.051785073172985
sentence_transformer_embeddings,hierarchical_clustering,0.05970919504761696,3.234641894278986,14.051785073172985
