Embedding Method,Clustering Method,Reduction Method,silhoutte score,davies score,calinski score
glove_embeddings,Kmeans_clustering,display_pca,0.10732537916716446,1.4569636522781053,231.54082845557485
glove_embeddings,Kmeans_clustering,display_tsne,0.10732537916716446,1.4569636522781053,231.54082845557485
glove_embeddings,Kmeans_clustering,display_ca,0.10732537916716446,1.4569636522781053,231.54082845557485
glove_embeddings,hierarchical_clustering,display_pca,0.0916975136793441,1.2918130285614717,250.32787832801355
glove_embeddings,hierarchical_clustering,display_tsne,0.0916975136793441,1.2918130285614717,250.32787832801355
glove_embeddings,hierarchical_clustering,display_ca,0.0916975136793441,1.2918130285614717,250.32787832801355
SVD_embeddings,Kmeans_clustering,display_pca,0.3662592986006912,0.6365804858844413,551.6486007977375
SVD_embeddings,Kmeans_clustering,display_tsne,0.3662578183577148,0.6365866440685233,551.6367510260002
SVD_embeddings,Kmeans_clustering,display_ca,0.36625540521527217,0.6365968237162627,551.6160978371197
SVD_embeddings,hierarchical_clustering,display_pca,0.3446175478763984,0.7077659380256072,549.2148399786024
SVD_embeddings,hierarchical_clustering,display_tsne,0.34461810614181465,0.7077656537752274,549.2157113236929
SVD_embeddings,hierarchical_clustering,display_ca,0.34461677745882896,0.70776832399965,549.207913385694
SVD_embeddings_PPMI,Kmeans_clustering,display_pca,0.1357829446817436,1.458068694786662,191.28817872951825
SVD_embeddings_PPMI,Kmeans_clustering,display_tsne,0.12594737828341765,1.4918327580722015,191.84798188764495
SVD_embeddings_PPMI,Kmeans_clustering,display_ca,0.12619590097573943,1.4917973205095278,191.77534775090768
SVD_embeddings_PPMI,hierarchical_clustering,display_pca,0.1430186021054831,1.340575735461972,185.18807553251415
SVD_embeddings_PPMI,hierarchical_clustering,display_tsne,0.11955983851340865,1.6126997210669671,181.8216476531368
SVD_embeddings_PPMI,hierarchical_clustering,display_ca,0.13316843860857525,1.4481336934430906,185.03486083026885
sentence_transformer_embeddings,Kmeans_clustering,display_pca,0.06517711281776428,3.251254982149188,14.655354031983451
sentence_transformer_embeddings,Kmeans_clustering,display_tsne,0.06517711281776428,3.251254982149188,14.655354031983451
sentence_transformer_embeddings,Kmeans_clustering,display_ca,0.06517711281776428,3.251254982149188,14.655354031983451
sentence_transformer_embeddings,hierarchical_clustering,display_pca,0.05970919504761696,3.234641894278986,14.051785073172985
sentence_transformer_embeddings,hierarchical_clustering,display_tsne,0.05970919504761696,3.234641894278986,14.051785073172985
sentence_transformer_embeddings,hierarchical_clustering,display_ca,0.05970919504761696,3.234641894278986,14.051785073172985
