Embedding Method,Clustering Method,silhoutte score,davies score,calinski score
tfidf,Kmeans_clustering,0.019837932542358834,4.077357625811578,7.525364642405543
tfidf,gaussian_clustering,0.019837932542358834,4.077357625811578,7.525364642405543
tfidf,hierarchical_clustering,0.028783993240348117,3.803905477714644,8.374446431721244
glove_embeddings,Kmeans_clustering,0.10664971172809601,1.8501159843411412,241.352232797483
glove_embeddings,gaussian_clustering,0.07945894449949265,2.4739658948220646,224.17470246927078
glove_embeddings,hierarchical_clustering,0.09008030593395233,1.505558135027765,258.5260305824083
SVD_embeddings,Kmeans_clustering,0.31283699130923953,0.728765375986959,447.10717597844473
SVD_embeddings,gaussian_clustering,-0.048261371893333814,3.787659623242321,42.58588956996501
SVD_embeddings,hierarchical_clustering,0.3260099367381949,0.7095675348948126,428.39089681562507
SVD_embeddings_PPMI,Kmeans_clustering,0.14652984488748186,1.419537933081786,166.73251340678385
SVD_embeddings_PPMI,gaussian_clustering,0.009214341670756103,3.766121092132031,108.22633171242873
SVD_embeddings_PPMI,hierarchical_clustering,0.13299124316575517,1.290736522907355,160.42759873361172
roberta_embeddings,Kmeans_clustering,0.07122467458248138,2.631717129906941,31.673342810907123
roberta_embeddings,gaussian_clustering,0.10649622231721878,2.26148998773617,37.670935641855095
roberta_embeddings,hierarchical_clustering,0.09003373235464096,1.996821343023591,32.60474162998639
sentence_transformer_embeddings,Kmeans_clustering,0.04858912527561188,3.1362688190660717,12.926072830720225
sentence_transformer_embeddings,gaussian_clustering,0.04763823747634888,3.167610102499745,12.932860030973904
sentence_transformer_embeddings,hierarchical_clustering,0.06719113886356354,3.075667811125678,13.975880524143871
